Cidade,Estado,Sigla
Abdon Batista,Santa Catarina,SC
Abelardo Luz,Santa Catarina,SC
Agrolândia,Santa Catarina,SC
Agronômica,Santa Catarina,SC
Água Doce,Santa Catarina,SC
Águas de Chapecó,Santa Catarina,SC
Águas Frias,Santa Catarina,SC
Águas Mornas,Santa Catarina,SC
Alfredo Wagner,Santa Catarina,SC
Alto Bela Vista,Santa Catarina,SC
Anchieta,Santa Catarina,SC
Angelina,Santa Catarina,SC
Anita Garibaldi,Santa Catarina,SC
Anitápolis,Santa Catarina,SC
Antônio Carlos,Santa Catarina,SC
Apiúna,Santa Catarina,SC
Arabutã,Santa Catarina,SC
Araquari,Santa Catarina,SC
Araranguá,Santa Catarina,SC
Armazém,Santa Catarina,SC
Arroio Trinta,Santa Catarina,SC
Arvoredo,Santa Catarina,SC
Ascurra,Santa Catarina,SC
Atalanta,Santa Catarina,SC
Aurora,Santa Catarina,SC
Balneário Arroio do Silva,Santa Catarina,SC
Balneário Barra do Sul,Santa Catarina,SC
Balneário Camboriú,Santa Catarina,SC
Balneário Gaivota,Santa Catarina,SC
Balneário Piçarras,Santa Catarina,SC
Balneário Rincão,Santa Catarina,SC
Bandeirante,Santa Catarina,SC
Barra Bonita,Santa Catarina,SC
Barra Velha,Santa Catarina,SC
Bela Vista do Toldo,Santa Catarina,SC
Belmonte,Santa Catarina,SC
Benedito Novo,Santa Catarina,SC
Biguaçu,Santa Catarina,SC
Blumenau,Santa Catarina,SC
Bocaina do Sul,Santa Catarina,SC
Bom Jardim da Serra,Santa Catarina,SC
Bom Jesus,Santa Catarina,SC
Bom Jesus do Oeste,Santa Catarina,SC
Bom Retiro,Santa Catarina,SC
Bombinhas,Santa Catarina,SC
Botuverá,Santa Catarina,SC
Braço do Norte,Santa Catarina,SC
Braço do Trombudo,Santa Catarina,SC
Brunópolis,Santa Catarina,SC
Brusque,Santa Catarina,SC
Caçador,Santa Catarina,SC
Caibi,Santa Catarina,SC
Calmon,Santa Catarina,SC
Camboriú,Santa Catarina,SC
Campo Alegre,Santa Catarina,SC
Campo Belo do Sul,Santa Catarina,SC
Campo Erê,Santa Catarina,SC
Campos Novos,Santa Catarina,SC
Canelinha,Santa Catarina,SC
Canoinhas,Santa Catarina,SC
Capão Alto,Santa Catarina,SC
Capinzal,Santa Catarina,SC
Capivari de Baixo,Santa Catarina,SC
Catanduvas,Santa Catarina,SC
Caxambu do Sul,Santa Catarina,SC
Celso Ramos,Santa Catarina,SC
Cerro Negro,Santa Catarina,SC
Chapadão do Lageado,Santa Catarina,SC
Chapecó,Santa Catarina,SC
Cocal do Sul,Santa Catarina,SC
Concórdia,Santa Catarina,SC
Cordilheira Alta,Santa Catarina,SC
Coronel Freitas,Santa Catarina,SC
Coronel Martins,Santa Catarina,SC
Correia Pinto,Santa Catarina,SC
Corupá,Santa Catarina,SC
Criciúma,Santa Catarina,SC
Cunha Porã,Santa Catarina,SC
Cunhataí,Santa Catarina,SC
Curitibanos,Santa Catarina,SC
Descanso,Santa Catarina,SC
Dionísio Cerqueira,Santa Catarina,SC
Dona Emma,Santa Catarina,SC
Doutor Pedrinho,Santa Catarina,SC
Entre Rios,Santa Catarina,SC
Ermo,Santa Catarina,SC
Erval Velho,Santa Catarina,SC
Faxinal dos Guedes,Santa Catarina,SC
Flor do Sertão,Santa Catarina,SC
Florianópolis,Santa Catarina,SC
Formosa do Sul,Santa Catarina,SC
Forquilhinha,Santa Catarina,SC
Fraiburgo,Santa Catarina,SC
Frei Rogério,Santa Catarina,SC
Galvão,Santa Catarina,SC
Garopaba,Santa Catarina,SC
Garuva,Santa Catarina,SC
Gaspar,Santa Catarina,SC
Governador Celso Ramos,Santa Catarina,SC
Grão Pará,Santa Catarina,SC
Gravatal,Santa Catarina,SC
Guabiruba,Santa Catarina,SC
Guaraciaba,Santa Catarina,SC
Guaramirim,Santa Catarina,SC
Guarujá do Sul,Santa Catarina,SC
Guatambú,Santa Catarina,SC
Herval d'Oeste,Santa Catarina,SC
Ibiam,Santa Catarina,SC
Ibicaré,Santa Catarina,SC
Ibirama,Santa Catarina,SC
Içara,Santa Catarina,SC
Ilhota,Santa Catarina,SC
Imaruí,Santa Catarina,SC
Imbituba,Santa Catarina,SC
Imbuia,Santa Catarina,SC
Indaial,Santa Catarina,SC
Iomerê,Santa Catarina,SC
Ipira,Santa Catarina,SC
Iporã do Oeste,Santa Catarina,SC
Ipuaçu,Santa Catarina,SC
Ipumirim,Santa Catarina,SC
Iraceminha,Santa Catarina,SC
Irani,Santa Catarina,SC
Irati,Santa Catarina,SC
Irineópolis,Santa Catarina,SC
Itá,Santa Catarina,SC
Itaiópolis,Santa Catarina,SC
Itajaí,Santa Catarina,SC
Itapema,Santa Catarina,SC
Itapiranga,Santa Catarina,SC
Itapoá,Santa Catarina,SC
Ituporanga,Santa Catarina,SC
Jaborá,Santa Catarina,SC
Jacinto Machado,Santa Catarina,SC
Jaguaruna,Santa Catarina,SC
Jaraguá do Sul,Santa Catarina,SC
Jardinópolis,Santa Catarina,SC
Joaçaba,Santa Catarina,SC
Joinville,Santa Catarina,SC
José Boiteux,Santa Catarina,SC
Jupiá,Santa Catarina,SC
Lacerdópolis,Santa Catarina,SC
Lages,Santa Catarina,SC
Laguna,Santa Catarina,SC
Lajeado Grande,Santa Catarina,SC
Laurentino,Santa Catarina,SC
Lauro Muller,Santa Catarina,SC
Lebon Régis,Santa Catarina,SC
Leoberto Leal,Santa Catarina,SC
Lindóia do Sul,Santa Catarina,SC
Lontras,Santa Catarina,SC
Luiz Alves,Santa Catarina,SC
Luzerna,Santa Catarina,SC
Macieira,Santa Catarina,SC
Mafra,Santa Catarina,SC
Major Gercino,Santa Catarina,SC
Major Vieira,Santa Catarina,SC
Maracajá,Santa Catarina,SC
Maravilha,Santa Catarina,SC
Marema,Santa Catarina,SC
Massaranduba,Santa Catarina,SC
Matos Costa,Santa Catarina,SC
Meleiro,Santa Catarina,SC
Mirim Doce,Santa Catarina,SC
Modelo,Santa Catarina,SC
Mondaí,Santa Catarina,SC
Monte Carlo,Santa Catarina,SC
Monte Castelo,Santa Catarina,SC
Morro da Fumaça,Santa Catarina,SC
Morro Grande,Santa Catarina,SC
Navegantes,Santa Catarina,SC
Nova Erechim,Santa Catarina,SC
Nova Itaberaba,Santa Catarina,SC
Nova Trento,Santa Catarina,SC
Nova Veneza,Santa Catarina,SC
Novo Horizonte,Santa Catarina,SC
Orleans,Santa Catarina,SC
Otacílio Costa,Santa Catarina,SC
Ouro,Santa Catarina,SC
Ouro Verde,Santa Catarina,SC
Paial,Santa Catarina,SC
Painel,Santa Catarina,SC
Palhoça,Santa Catarina,SC
Palma Sola,Santa Catarina,SC
Palmeira,Santa Catarina,SC
Palmitos,Santa Catarina,SC
Papanduva,Santa Catarina,SC
Paraíso,Santa Catarina,SC
Passo de Torres,Santa Catarina,SC
Passos Maia,Santa Catarina,SC
Paulo Lopes,Santa Catarina,SC
Pedras Grandes,Santa Catarina,SC
Penha,Santa Catarina,SC
Peritiba,Santa Catarina,SC
Pescaria Brava,Santa Catarina,SC
Petrolândia,Santa Catarina,SC
Pinhalzinho,Santa Catarina,SC
Pinheiro Preto,Santa Catarina,SC
Piratuba,Santa Catarina,SC
Planalto Alegre,Santa Catarina,SC
Pomerode,Santa Catarina,SC
Ponte Alta,Santa Catarina,SC
Ponte Alta do Norte,Santa Catarina,SC
Ponte Serrada,Santa Catarina,SC
Porto Belo,Santa Catarina,SC
Porto União,Santa Catarina,SC
Pouso Redondo,Santa Catarina,SC
Praia Grande,Santa Catarina,SC
Presidente Castello Branco,Santa Catarina,SC
Presidente Getúlio,Santa Catarina,SC
Presidente Nereu,Santa Catarina,SC
Princesa,Santa Catarina,SC
Quilombo,Santa Catarina,SC
Rancho Queimado,Santa Catarina,SC
Rio das Antas,Santa Catarina,SC
Rio do Campo,Santa Catarina,SC
Rio do Oeste,Santa Catarina,SC
Rio do Sul,Santa Catarina,SC
Rio dos Cedros,Santa Catarina,SC
Rio Fortuna,Santa Catarina,SC
Rio Negrinho,Santa Catarina,SC
Rio Rufino,Santa Catarina,SC
Riqueza,Santa Catarina,SC
Rodeio,Santa Catarina,SC
Romelândia,Santa Catarina,SC
Salete,Santa Catarina,SC
Saltinho,Santa Catarina,SC
Salto Veloso,Santa Catarina,SC
Sangão,Santa Catarina,SC
Santa Cecília,Santa Catarina,SC
Santa Helena,Santa Catarina,SC
Santa Rosa de Lima,Santa Catarina,SC
Santa Rosa do Sul,Santa Catarina,SC
Santa Terezinha,Santa Catarina,SC
Santa Terezinha do Progresso,Santa Catarina,SC
Santiago do Sul,Santa Catarina,SC
Santo Amaro da Imperatriz,Santa Catarina,SC
São Bento do Sul,Santa Catarina,SC
São Bernardino,Santa Catarina,SC
São Bonifácio,Santa Catarina,SC
São Carlos,Santa Catarina,SC
São Cristovão do Sul,Santa Catarina,SC
São Domingos,Santa Catarina,SC
São Francisco do Sul,Santa Catarina,SC
São João Batista,Santa Catarina,SC
São João do Itaperiú,Santa Catarina,SC
