Cidade,Estado,Sigla
Amparo de São Francisco,Sergipe,SE
Aquidabã,Sergipe,SE
Aracaju,Sergipe,SE
Arauá,Sergipe,SE
Areia Branca,Sergipe,SE
Barra dos Coqueiros,Sergipe,SE
Boquim,Sergipe,SE
Brejo Grande,Sergipe,SE
Campo do Brito,Sergipe,SE
Canhoba,Sergipe,SE
Canindé de São Francisco,Sergipe,SE
Capela,Sergipe,SE
Carira,Sergipe,SE
Carmópolis,Sergipe,SE
Cedro de São João,Sergipe,SE
Cristinápolis,Sergipe,SE
Cumbe,Sergipe,SE
Divina Pastora,Sergipe,SE
Estância,Sergipe,SE
Feira Nova,Sergipe,SE
Frei Paulo,Sergipe,SE
Gararu,Sergipe,SE
General Maynard,Sergipe,SE
Gracho Cardoso,Sergipe,SE
Ilha das Flores,Sergipe,SE
Indiaroba,Sergipe,SE
Itabaiana,Sergipe,SE
Itabaianinha,Sergipe,SE
Itabi,Sergipe,SE
Itaporanga d'Ajuda,Sergipe,SE
Japaratuba,Sergipe,SE
Japoatã,Sergipe,SE
Lagarto,Sergipe,SE
Laranjeiras,Sergipe,SE
Macambira,Sergipe,SE
Malhada dos Bois,Sergipe,SE
Malhador,Sergipe,SE
Maruim,Sergipe,SE
Moita Bonita,Sergipe,SE
Monte Alegre de Sergipe,Sergipe,SE
Muribeca,Sergipe,SE
Neópolis,Sergipe,SE
Nossa Senhora Aparecida,Sergipe,SE
Nossa Senhora da Glória,Sergipe,SE
Nossa Senhora das Dores,Sergipe,SE
Nossa Senhora de Lourdes,Sergipe,SE
Nossa Senhora do Socorro,Sergipe,SE
Pacatuba,Sergipe,SE
Pedra Mole,Sergipe,SE
Pedrinhas,Sergipe,SE
Pinhão,Sergipe,SE
Pirambu,Sergipe,SE
Poço Redondo,Sergipe,SE
Poço Verde,Sergipe,SE
Porto da Folha,Sergipe,SE
Propriá,Sergipe,SE
Riachão do Dantas,Sergipe,SE
Riachuelo,Sergipe,SE
Ribeirópolis,Sergipe,SE
Rosário do Catete,Sergipe,SE
Salgado,Sergipe,SE
Santa Luzia do Itanhy,Sergipe,SE
Santa Rosa de Lima,Sergipe,SE
Santana do São Francisco,Sergipe,SE
Santo Amaro das Brotas,Sergipe,SE
São Cristóvão,Sergipe,SE
São Domingos,Sergipe,SE
São Francisco,Sergipe,SE
São Miguel do Aleixo,Sergipe,SE
Simão Dias,Sergipe,SE
Siriri,Sergipe,SE
Telha,Sergipe,SE
Tobias Barreto,Sergipe,SE
Tomar do Geru,Sergipe,SE
Umbaúba,Sergipe,SE
