Cidade,Estado,Sigla
Acorizal,Mato Grosso,MT
Água Boa,Mato Grosso,MT
Alta Floresta,Mato Grosso,MT
Alto Araguaia,Mato Grosso,MT
Alto Boa Vista,Mato Grosso,MT
Alto Garças,Mato Grosso,MT
Alto Paraguai,Mato Grosso,MT
Alto Taquari,Mato Grosso,MT
Apiacás,Mato Grosso,MT
Araguaiana,Mato Grosso,MT
Araguainha,Mato Grosso,MT
Araputanga,Mato Grosso,MT
Arenápolis,Mato Grosso,MT
Aripuanã,Mato Grosso,MT
Barão de Melgaço,Mato Grosso,MT
Barra do Bugres,Mato Grosso,MT
Barra do Garças,Mato Grosso,MT
Bom Jesus do Araguaia,Mato Grosso,MT
Brasnorte,Mato Grosso,MT
Cáceres,Mato Grosso,MT
Campinápolis,Mato Grosso,MT
Campo Novo do Parecis,Mato Grosso,MT
Campo Verde,Mato Grosso,MT
Campos de Júlio,Mato Grosso,MT
Canabrava do Norte,Mato Grosso,MT
Canarana,Mato Grosso,MT
Carlinda,Mato Grosso,MT
Castanheira,Mato Grosso,MT
Chapada dos Guimarães,Mato Grosso,MT
Cláudia,Mato Grosso,MT
Cocalinho,Mato Grosso,MT
Colíder,Mato Grosso,MT
Colniza,Mato Grosso,MT
Comodoro,Mato Grosso,MT
Confresa,Mato Grosso,MT
Conquista D'Oeste,Mato Grosso,MT
Cotriguaçu,Mato Grosso,MT
Cuiabá,Mato Grosso,MT
Curvelândia,Mato Grosso,MT
Denise,Mato Grosso,MT
Diamantino,Mato Grosso,MT
Dom Aquino,Mato Grosso,MT
Feliz Natal,Mato Grosso,MT
Figueirópolis D'Oeste,Mato Grosso,MT
Gaúcha do Norte,Mato Grosso,MT
General Carneiro,Mato Grosso,MT
Glória D'Oeste,Mato Grosso,MT
Guarantã do Norte,Mato Grosso,MT
Guiratinga,Mato Grosso,MT
Indiavaí,Mato Grosso,MT
Ipiranga do Norte,Mato Grosso,MT
Itanhangá,Mato Grosso,MT
Itaúba,Mato Grosso,MT
Itiquira,Mato Grosso,MT
Jaciara,Mato Grosso,MT
Jangada,Mato Grosso,MT
Jauru,Mato Grosso,MT
Juara,Mato Grosso,MT
Juína,Mato Grosso,MT
Juruena,Mato Grosso,MT
Juscimeira,Mato Grosso,MT
Lambari D'Oeste,Mato Grosso,MT
Lucas do Rio Verde,Mato Grosso,MT
Luciara,Mato Grosso,MT
Marcelândia,Mato Grosso,MT
Matupá,Mato Grosso,MT
Mirassol d'Oeste,Mato Grosso,MT
Nobres,Mato Grosso,MT
Nortelândia,Mato Grosso,MT
Nossa Senhora do Livramento,Mato Grosso,MT
Nova Bandeirantes,Mato Grosso,MT
Nova Brasilândia,Mato Grosso,MT
Nova Canaã do Norte,Mato Grosso,MT
Nova Guarita,Mato Grosso,MT
Nova Lacerda,Mato Grosso,MT
Nova Marilândia,Mato Grosso,MT
Nova Maringá,Mato Grosso,MT
Nova Monte Verde,Mato Grosso,MT
Nova Mutum,Mato Grosso,MT
Nova Nazaré,Mato Grosso,MT
Nova Olímpia,Mato Grosso,MT
Nova Santa Helena,Mato Grosso,MT
Nova Ubiratã,Mato Grosso,MT
Nova Xavantina,Mato Grosso,MT
Novo Horizonte do Norte,Mato Grosso,MT
Novo Mundo,Mato Grosso,MT
Novo Santo Antônio,Mato Grosso,MT
Novo São Joaquim,Mato Grosso,MT
Paranaíta,Mato Grosso,MT
Paranatinga,Mato Grosso,MT
Pedra Preta,Mato Grosso,MT
Peixoto de Azevedo,Mato Grosso,MT
Planalto da Serra,Mato Grosso,MT
Poconé,Mato Grosso,MT
Pontal do Araguaia,Mato Grosso,MT
Ponte Branca,Mato Grosso,MT
Pontes e Lacerda,Mato Grosso,MT
Porto Alegre do Norte,Mato Grosso,MT
Porto dos Gaúchos,Mato Grosso,MT
Porto Esperidião,Mato Grosso,MT
Porto Estrela,Mato Grosso,MT
Poxoréu,Mato Grosso,MT
Primavera do Leste,Mato Grosso,MT
Querência,Mato Grosso,MT
Reserva do Cabaçal,Mato Grosso,MT
Ribeirão Cascalheira,Mato Grosso,MT
Ribeirãozinho,Mato Grosso,MT
Rio Branco,Mato Grosso,MT
Rondolândia,Mato Grosso,MT
Rondonópolis,Mato Grosso,MT
Rosário Oeste,Mato Grosso,MT
Salto do Céu,Mato Grosso,MT
Santa Carmem,Mato Grosso,MT
Santa Cruz do Xingu,Mato Grosso,MT
Santa Rita do Trivelato,Mato Grosso,MT
Santa Terezinha,Mato Grosso,MT
Santo Afonso,Mato Grosso,MT
Santo Antônio do Leste,Mato Grosso,MT
Santo Antônio do Leverger,Mato Grosso,MT
São Félix do Araguaia,Mato Grosso,MT
São José do Povo,Mato Grosso,MT
São José do Rio Claro,Mato Grosso,MT
São José do Xingu,Mato Grosso,MT
São José dos Quatro Marcos,Mato Grosso,MT
São Pedro da Cipa,Mato Grosso,MT
Sapezal,Mato Grosso,MT
Serra Nova Dourada,Mato Grosso,MT
Sinop,Mato Grosso,MT
Sorriso,Mato Grosso,MT
Tabaporã,Mato Grosso,MT
Tangará da Serra,Mato Grosso,MT
Tapurah,Mato Grosso,MT
Terra Nova do Norte,Mato Grosso,MT
Tesouro,Mato Grosso,MT
Torixoréu,Mato Grosso,MT
União do Sul,Mato Grosso,MT
Vale de São Domingos,Mato Grosso,MT
Várzea Grande,Mato Grosso,MT
Vera,Mato Grosso,MT
Vila Bela da Santíssima Trindade,Mato Grosso,MT
Vila Rica,Mato Grosso,MT
